"Index","XStart","YStart","Angle","Major","Minor","SineRad"
1585,74,433,176.91492,7.5234623,6.2617264,0.0538187890853992
1584,75,313,1.0497909,8.557367,4.910027,0.0183212825253203
1584,74,325,173.53098,8.303685,5.366699,0.11266596996072
1584,73,338,164.56894,6.0539103,4.6269712,0.26607871385218
1584,72,350,172.68022,7.120317,4.828081,0.127407028898561
1584,72,362,178.95993,8.518037,4.9326982,0.0181516490286991
1584,72,374,170.73509,9.020243,4.7992215,0.160999404832529
1584,71,386,167.63063,8.427066,5.1370363,0.214213173025521
1584,72,398,173.51395,7.629487,4.839637,0.112961302066691
1584,72,410,172.524,8.22475,4.953788,0.130110885328767
1584,78,415,0,1.1283792,1.1283792,0
1584,74,421,145.34572,6.518275,5.664681,0.568623300470257
1584,71,434,155.519,8.543308,6.2594094,0.414391465275901
1583,74,313,7.0181217,8.185571,5.2885923,0.122183263107375
1583,72,326,1.9869843e-14,7.923209,4.8209233,3.46794182204348e-16
1583,74,338,176.87904,7.0623813,3.9662642,0.0544440950525564
1583,72,350,169.81807,6.7746563,4.6985393,0.176774334926908
1583,72,362,177.33482,8.032292,4.9139676,0.0464993930518339
1583,74,373,167.40529,7.6862245,5.4665203,0.21805313610468
1583,72,386,173.83636,7.3013415,4.708377,0.107368444093929
1583,72,398,0.32052246,8.870461,5.0237956,0.00559414307558815
1583,71,410,174.88396,9.513152,5.085917,0.0891731358844341
1583,74,421,164.74489,6.670179,5.5356755,0.263117259247363
1583,77,428,0,2.2567585,1.1283792,0
1583,71,434,162.54364,8.043372,6.0152764,0.299979302690243
1582,75,313,6.9243064,9.572268,5.1875215,0.12055798219191
1582,72,326,5.1392527,8.147345,5.000852,0.0895766525852712
1582,72,338,166.30031,6.704809,4.747486,0.236832889475545
1582,72,350,172.22171,7.014422,3.9933825,0.135340157464937
1582,72,362,167.04675,8.006221,5.089001,0.224155950650895
1582,75,373,168.98445,8.22443,5.108792,0.191075400686223
1582,73,386,178.38464,7.3938055,4.477292,0.0281896157687628
1582,71,398,179.33853,9.342476,4.906261,0.0115445729497944
1582,71,410,168.62582,9.276392,4.9412127,0.197215566988122
1582,72,422,144.14607,8.01064,4.92725,0.585720834488298
1582,72,434,172.32942,8.492347,5.547332,0.133477321820822
1581,72,314,6.8188376,9.317458,4.6461325,0.118730427257168
1581,72,326,172.30544,7.2796144,5.0722394,0.133892095011521
1581,72,338,175.309,7.792545,4.738368,0.0817819561851734
1581,72,350,169.34818,7.8405,4.222209,0.184840271098801
1581,72,362,167.84895,7.192414,4.95671,0.210489675240527
1581,72,374,173.7621,9.312938,4.6483874,0.108656942797614
1581,72,386,165.98158,7.1544666,4.9830003,0.242233823124011
1581,78,394,0,1.1283792,1.1283792,0
1581,72,398,176.74449,9.168578,4.721576,0.0567888002736109
1581,72,410,173.39215,9.220994,4.694737,0.115073249773538
1581,72,422,164.9606,6.8405976,4.8393764,0.259483212143882
1581,79,427,0,1.1283792,1.1283792,0
1581,73,434,175.60194,7.312778,5.223348,0.0766852684873632
1580,75,313,10.367205,9.208712,5.115793,0.179956138355795
1580,73,326,0.43402573,6.994646,4.914826,0.00757510557893296
1580,71,338,165.81584,8.219651,4.801959,0.245039363497511
1580,72,350,165.97266,7.6269994,4.841215,0.242384866979575
1580,72,362,162.35182,6.8747263,5.000558,0.303171321434578
1580,71,374,173.4622,9.480311,4.834928,0.113858682673481
1580,72,386,173.86264,7.0457373,4.698476,0.106912411736496
1580,73,398,0.6752672,8.663668,4.7028193,0.0117853631327582
1580,72,410,176.15424,7.7003865,5.125772,0.0670707859589973
1580,72,422,173.95262,6.7158594,4.9292617,0.105350834386534
1580,71,434,173.80136,7.623381,5.1775484,0.107975758033288
1579,72,314,8.655281,8.793204,4.778338,0.150489260915406
1579,75,325,4.2626624,9.266743,4.808959,0.0743288812443703
1579,72,338,168.38338,6.8993034,4.798198,0.201362061720673
1579,72,350,167.95238,8.464517,4.663046,0.208724582611781
1579,73,362,165.74673,6.1012573,4.3823805,0.24620860883289
1579,72,374,177.25761,8.04037,4.433964,0.0478454614992616
1579,73,386,174.4043,6.030133,4.6452165,0.0975082085061842
1579,71,398,170.06528,7.6754317,4.478897,0.172526023566685
1579,72,410,0.72587353,7.582649,4.869531,0.0126685441604096
1579,73,422,172.6618,5.9293284,4.5094533,0.127725891982896
1579,72,434,2.4769747,7.8723083,4.5286217,0.0432178990462954
1578,72,314,13.061997,8.596371,4.887749,0.226005241307169
1578,75,325,13.214235,8.570151,5.1998363,0.228592746420898
1578,73,338,0,5.7406526,4.8794575,0
1578,72,350,164.9774,7.414689,4.464682,0.259200029001853
1578,73,362,0,5.584697,5.015719,0
1578,72,374,174.96642,8.038197,4.276764,0.0877395790911317
1578,73,386,0,6.7814155,4.318348,0
1578,72,398,178.07698,6.744973,4.7192163,0.0335567296061519
1578,73,410,0,6.5842924,4.8343825,0
1578,73,422,177.11606,5.8248672,3.9345639,0.0503129971790398
1578,72,434,0,7.0503983,4.6953697,0
1577,73,314,11.2310705,7.715648,4.4555516,0.194766277473411
1577,72,326,11.124512,8.5138,5.084703,0.192941760720169
1577,73,338,156.90941,6.196089,4.7262893,0.392186043985398
1577,72,350,156.51253,6.265026,4.267824,0.398548507748477
1577,72,362,166.96358,7.1215425,4.6484632,0.225570366129575
1577,72,374,165.76244,7.5714664,4.8767233,0.245942848822639
1577,73,386,171.78535,6.802119,4.3052044,0.142882005652754
1577,72,398,175.07573,7.445375,4.9593134,0.085838958769902
1577,73,410,3.3067303,7.33573,4.686305,0.0576812976768086
1577,73,422,179.04543,6.3391247,4.6196456,0.0166596187180292
1577,74,433,165.10286,7.82043,5.698329,0.2570845548034
1576,73,314,18.598783,6.7660747,4.704499,0.31893917800241
1576,74,325,5.761861,7.271057,5.42843,0.100394031381765
1576,73,338,10.56236,5.778366,4.406919,0.183305579519199
1576,72,350,152.83147,6.5624824,4.656431,0.456609341641406
1576,72,362,165.67987,7.8345766,4.7129474,0.247339446398725
1576,72,374,172.79053,7.622259,4.343099,0.125497211228472
1576,73,386,168.23427,6.777405,4.5087686,0.203910530891569
1576,72,398,176.58191,7.7412605,4.769759,0.059621544937181
1576,74,410,4.542257,7.4015017,4.4726367,0.0791943245649494
1576,73,422,4.144408,7.1699967,4.261892,0.0722705050326261
1576,73,434,178.91655,6.9240313,4.5971756,0.0189086428435473
1575,75,313,26.19485,7.211118,4.943853,0.441425201427465
1575,75,325,3.3944874,6.0174055,5.2898192,0.0592103296327382
1575,73,338,174.41756,6.006529,4.0275426,0.0972778780698778
1575,72,350,159.34569,5.839897,4.796535,0.352728770106063
1575,72,362,173.86761,6.1217456,5.199659,0.106826165642249
1575,72,374,172.79666,6.696572,4.943459,0.125391067682757
1575,72,386,172.63852,6.431111,4.7515507,0.128128866177286
